TransactionID,OrderID,TransactionDate,TransactionTime,DayOfWeek,Month,Quarter,Year,CustomerID,CustomerAgeGroup,Subscription Member,ProductID,ProductName,Category,Season,QuantitySold,UnitSalePrice,UnitCost,Revenue,TotalCost,Profit,GrossMarginPercent,WeekendFlag,StoreID,StoreLocation,City,State
TXN-00000011,ORD-0012079,1/2/2019,12:01:27,Wednesday,January,Q1,2019,CUST-04410,65-74,None,CP-002,Chocolate Cupcakes,Cupcakes,Winter,1,4.5,0.79,4.5,0.79,3.71,82.44,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000012,ORD-0012079,1/2/2019,12:01:27,Wednesday,January,Q1,2019,CUST-04410,65-74,None,CK-003,Oatmeal Cookie,Cookie,Winter,1,2.99,0.24,2.99,0.24,2.75,91.97,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000013,ORD-0012845,1/2/2019,12:43:27,Wednesday,January,Q1,2019,CUST-03300,65-74,None,CK-003,Oatmeal Cookie,Cookie,Winter,1,2.99,0.24,2.99,0.24,2.75,91.97,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000014,ORD-0028969,1/2/2019,18:30:00,Wednesday,January,Q1,2019,CUST-04876,45-54,Family,CK-005,Gingerbread Cookie,Cookie,Winter,4,2.99,0.26,11.96,1.04,10.92,91.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000015,ORD-0028969,1/2/2019,18:30:00,Wednesday,January,Q1,2019,CUST-04876,45-54,Family,CK-001,Chocolate Chip Cookie,Cookie,Winter,1,2.99,0.32,2.99,0.32,2.67,89.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000016,ORD-0019399,1/3/2019,8:42:35,Thursday,January,Q1,2019,CUST-04625,55-64,None,CR-001,Cinnamon Rolls,Cinnamon Rolls,Winter,1,3.99,0.95,3.99,0.95,3.04,76.19,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000017,ORD-0019399,1/3/2019,8:42:35,Thursday,January,Q1,2019,CUST-04625,55-64,None,CK-003,Oatmeal Cookie,Cookie,Winter,1,2.99,0.24,2.99,0.24,2.75,91.97,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000018,ORD-0000961,1/3/2019,9:28:08,Thursday,January,Q1,2019,CUST-00945,65-74,None,CP-002,Chocolate Cupcakes,Cupcakes,Winter,1,4.5,0.79,4.5,0.79,3.71,82.44,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000019,ORD-0024737,1/3/2019,9:46:31,Thursday,January,Q1,2019,CUST-03219,35-44,None,CK-001,Chocolate Chip Cookie,Cookie,Winter,1,2.99,0.32,2.99,0.32,2.67,89.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000020,ORD-0014418,1/3/2019,10:01:41,Thursday,January,Q1,2019,CUST-02090,65-74,None,CK-001,Chocolate Chip Cookie,Cookie,Winter,1,2.99,0.32,2.99,0.32,2.67,89.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000021,ORD-0027681,1/3/2019,11:40:17,Thursday,January,Q1,2019,CUST-04010,45-54,None,CR-001,Cinnamon Rolls,Cinnamon Rolls,Winter,1,3.99,0.95,3.99,0.95,3.04,76.19,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000022,ORD-0027681,1/3/2019,11:40:17,Thursday,January,Q1,2019,CUST-04010,45-54,None,CK-003,Oatmeal Cookie,Cookie,Winter,1,2.99,0.24,2.99,0.24,2.75,91.97,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000023,ORD-0011694,1/3/2019,11:41:15,Thursday,January,Q1,2019,CUST-02584,45-54,None,CP-001,Vanilla Cupcakes,Cupcakes,Winter,1,4.5,0.72,4.5,0.72,3.78,84,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000024,ORD-0011694,1/3/2019,11:41:15,Thursday,January,Q1,2019,CUST-02584,45-54,None,BR-001,Chocolate Brownies,Brownies,Winter,1,3.5,0.48,3.5,0.48,3.02,86.29,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000025,ORD-0006923,1/3/2019,14:06:28,Thursday,January,Q1,2019,CUST-02052,65-74,None,CK-003,Oatmeal Cookie,Cookie,Winter,2,2.99,0.24,5.98,0.48,5.5,91.97,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000026,ORD-0018366,1/3/2019,14:37:47,Thursday,January,Q1,2019,CUST-04317,55-64,None,CK-005,Gingerbread Cookie,Cookie,Winter,1,2.99,0.26,2.99,0.26,2.73,91.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000027,ORD-0025926,1/4/2019,9:04:19,Friday,January,Q1,2019,CUST-02442,65-74,None,CP-003,Lemon Cupcake,Cupcakes,Winter,2,4.5,0.76,9,1.52,7.48,83.11,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000028,ORD-0022066,1/4/2019,9:16:10,Friday,January,Q1,2019,CUST-01859,65-74,Basic,CR-001,Cinnamon Rolls,Cinnamon Rolls,Winter,1,3.99,0.95,3.99,0.95,3.04,76.19,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000029,ORD-0014685,1/4/2019,9:56:43,Friday,January,Q1,2019,CUST-00420,45-54,None,CK-005,Gingerbread Cookie,Cookie,Winter,1,2.99,0.26,2.99,0.26,2.73,91.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000030,ORD-0014685,1/4/2019,9:56:43,Friday,January,Q1,2019,CUST-00420,45-54,None,CR-001,Cinnamon Rolls,Cinnamon Rolls,Winter,2,3.99,0.95,7.98,1.9,6.08,76.19,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000031,ORD-0025511,1/4/2019,10:30:58,Friday,January,Q1,2019,CUST-02594,65-74,Basic,CK-005,Gingerbread Cookie,Cookie,Winter,1,2.99,0.26,2.99,0.26,2.73,91.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000032,ORD-0002612,1/4/2019,12:06:54,Friday,January,Q1,2019,CUST-05018,75+,None,CP-001,Vanilla Cupcakes,Cupcakes,Winter,1,4.5,0.72,4.5,0.72,3.78,84,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000033,ORD-0012488,1/4/2019,12:09:51,Friday,January,Q1,2019,CUST-05082,65-74,None,CP-003,Lemon Cupcake,Cupcakes,Winter,1,4.5,0.76,4.5,0.76,3.74,83.11,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000034,ORD-0005144,1/4/2019,12:22:49,Friday,January,Q1,2019,CUST-02718,55-64,None,CK-001,Chocolate Chip Cookie,Cookie,Winter,1,2.99,0.32,2.99,0.32,2.67,89.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000035,ORD-0005144,1/4/2019,12:22:49,Friday,January,Q1,2019,CUST-02718,55-64,None,BR-001,Chocolate Brownies,Brownies,Winter,1,3.5,0.48,3.5,0.48,3.02,86.29,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000036,ORD-0012595,1/4/2019,12:33:40,Friday,January,Q1,2019,CUST-01566,45-54,Family,BR-001,Chocolate Brownies,Brownies,Winter,2,3.5,0.48,7,0.96,6.04,86.29,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000037,ORD-0015020,1/4/2019,13:27:27,Friday,January,Q1,2019,CUST-02212,65-74,Basic,CP-001,Vanilla Cupcakes,Cupcakes,Winter,1,4.5,0.72,4.5,0.72,3.78,84,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000038,ORD-0003303,1/4/2019,13:53:40,Friday,January,Q1,2019,CUST-03935,35-44,None,CR-001,Cinnamon Rolls,Cinnamon Rolls,Winter,1,3.99,0.95,3.99,0.95,3.04,76.19,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000039,ORD-0023866,1/4/2019,16:37:39,Friday,January,Q1,2019,CUST-00549,55-64,Basic,CP-002,Chocolate Cupcakes,Cupcakes,Winter,1,4.5,0.79,4.5,0.79,3.71,82.44,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000040,ORD-0021373,1/4/2019,16:51:39,Friday,January,Q1,2019,CUST-04059,65-74,None,BR-003,Peppermint Mocha Brownies,Brownies,Winter,1,3.5,0.56,3.5,0.56,2.94,84,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000041,ORD-0021373,1/4/2019,16:51:39,Friday,January,Q1,2019,CUST-04059,65-74,None,BR-003,Peppermint Mocha Brownies,Brownies,Winter,1,3.5,0.56,3.5,0.56,2.94,84,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000042,ORD-0011225,1/5/2019,10:30:03,Saturday,January,Q1,2019,CUST-05338,75+,None,CP-003,Lemon Cupcake,Cupcakes,Winter,3,4.5,0.76,13.5,2.28,11.22,83.11,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000043,ORD-0011225,1/5/2019,10:30:03,Saturday,January,Q1,2019,CUST-05338,75+,None,CK-005,Gingerbread Cookie,Cookie,Winter,1,2.99,0.26,2.99,0.26,2.73,91.3,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000044,ORD-0011225,1/5/2019,10:30:03,Saturday,January,Q1,2019,CUST-05338,75+,None,MF-001,Vegan Banana Bread Muffin,Muffins,Winter,1,2.99,0.81,2.99,0.81,2.18,72.91,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000045,ORD-0013968,1/5/2019,10:31:17,Saturday,January,Q1,2019,CUST-02348,65-74,Basic,CP-005,Peppermint Chocalate Cupcakes,Cupcakes,Winter,1,4.5,0.84,4.5,0.84,3.66,81.33,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000046,ORD-0005926,1/5/2019,10:44:48,Saturday,January,Q1,2019,CUST-04059,65-74,None,CK-005,Gingerbread Cookie,Cookie,Winter,1,2.99,0.26,2.99,0.26,2.73,91.3,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000047,ORD-0014216,1/5/2019,10:48:01,Saturday,January,Q1,2019,CUST-00864,75+,None,BR-001,Chocolate Brownies,Brownies,Winter,1,3.5,0.48,3.5,0.48,3.02,86.29,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000048,ORD-0014216,1/5/2019,10:48:01,Saturday,January,Q1,2019,CUST-00864,75+,None,BR-001,Chocolate Brownies,Brownies,Winter,1,3.5,0.48,3.5,0.48,3.02,86.29,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000049,ORD-0003363,1/5/2019,11:23:40,Saturday,January,Q1,2019,CUST-00481,65-74,Family,CK-001,Chocolate Chip Cookie,Cookie,Winter,2,2.99,0.32,5.98,0.64,5.34,89.3,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000050,ORD-0004534,1/5/2019,11:54:54,Saturday,January,Q1,2019,CUST-05307,65-74,None,CP-003,Lemon Cupcake,Cupcakes,Winter,3,4.5,0.76,13.5,2.28,11.22,83.11,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000051,ORD-0000175,1/5/2019,12:09:40,Saturday,January,Q1,2019,CUST-03720,25-34,None,CR-001,Cinnamon Rolls,Cinnamon Rolls,Winter,1,3.99,0.95,3.99,0.95,3.04,76.19,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000052,ORD-0000175,1/5/2019,12:09:40,Saturday,January,Q1,2019,CUST-03720,25-34,None,CK-001,Chocolate Chip Cookie,Cookie,Winter,2,2.99,0.32,5.98,0.64,5.34,89.3,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000053,ORD-0008511,1/5/2019,15:12:54,Saturday,January,Q1,2019,CUST-03044,75+,None,BR-003,Peppermint Mocha Brownies,Brownies,Winter,1,3.5,0.56,3.5,0.56,2.94,84,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000054,ORD-0024198,1/5/2019,15:28:33,Saturday,January,Q1,2019,CUST-04439,65-74,Basic,MF-001,Vegan Banana Bread Muffin,Muffins,Winter,1,2.99,0.81,2.99,0.81,2.18,72.91,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000055,ORD-0010776,1/6/2019,8:33:08,Sunday,January,Q1,2019,CUST-02968,35-44,Mystery Box,CR-001,Cinnamon Rolls,Cinnamon Rolls,Winter,1,3.99,0.95,3.99,0.95,3.04,76.19,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000056,ORD-0010776,1/6/2019,8:33:08,Sunday,January,Q1,2019,CUST-02968,35-44,Mystery Box,MYS-001,Mystery Box Item,Mystery Box Item,Winter,1,0,1,0,1,-1,,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000057,ORD-0023874,1/6/2019,8:59:46,Sunday,January,Q1,2019,CUST-01505,75+,None,CK-001,Chocolate Chip Cookie,Cookie,Winter,1,2.99,0.32,2.99,0.32,2.67,89.3,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000058,ORD-0023874,1/6/2019,8:59:46,Sunday,January,Q1,2019,CUST-01505,75+,None,CP-001,Vanilla Cupcakes,Cupcakes,Winter,1,4.5,0.72,4.5,0.72,3.78,84,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000059,ORD-0023874,1/6/2019,8:59:46,Sunday,January,Q1,2019,CUST-01505,75+,None,CK-005,Gingerbread Cookie,Cookie,Winter,3,2.99,0.26,8.97,0.78,8.19,91.3,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000060,ORD-0020755,1/6/2019,9:07:10,Sunday,January,Q1,2019,CUST-01828,65-74,Mystery Box,BR-003,Peppermint Mocha Brownies,Brownies,Winter,1,3.5,0.56,3.5,0.56,2.94,84,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000061,ORD-0020755,1/6/2019,9:07:10,Sunday,January,Q1,2019,CUST-01828,65-74,Mystery Box,CK-005,Gingerbread Cookie,Cookie,Winter,2,2.99,0.26,5.98,0.52,5.46,91.3,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000062,ORD-0025476,1/6/2019,9:31:21,Sunday,January,Q1,2019,CUST-05221,65-74,None,CP-002,Chocolate Cupcakes,Cupcakes,Winter,1,4.5,0.79,4.5,0.79,3.71,82.44,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000063,ORD-0025476,1/6/2019,9:31:21,Sunday,January,Q1,2019,CUST-05221,65-74,None,CK-001,Chocolate Chip Cookie,Cookie,Winter,1,2.99,0.32,2.99,0.32,2.67,89.3,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000064,ORD-0023240,1/6/2019,12:25:51,Sunday,January,Q1,2019,CUST-01651,45-54,None,MF-001,Vegan Banana Bread Muffin,Muffins,Winter,1,2.99,0.81,2.99,0.81,2.18,72.91,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000065,ORD-0026333,1/6/2019,14:42:19,Sunday,January,Q1,2019,CUST-01338,65-74,None,CP-001,Vanilla Cupcakes,Cupcakes,Winter,1,4.5,0.72,4.5,0.72,3.78,84,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000066,ORD-0026333,1/6/2019,14:42:19,Sunday,January,Q1,2019,CUST-01338,65-74,None,CP-001,Vanilla Cupcakes,Cupcakes,Winter,1,4.5,0.72,4.5,0.72,3.78,84,Y,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000067,ORD-0027997,1/7/2019,7:53:55,Monday,January,Q1,2019,CUST-01710,25-34,None,MF-001,Vegan Banana Bread Muffin,Muffins,Winter,1,2.99,0.81,2.99,0.81,2.18,72.91,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000068,ORD-0015540,1/7/2019,10:07:20,Monday,January,Q1,2019,CUST-01252,55-64,None,BR-001,Chocolate Brownies,Brownies,Winter,1,3.5,0.48,3.5,0.48,3.02,86.29,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000069,ORD-0015540,1/7/2019,10:07:20,Monday,January,Q1,2019,CUST-01252,55-64,None,CK-001,Chocolate Chip Cookie,Cookie,Winter,1,2.99,0.32,2.99,0.32,2.67,89.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000070,ORD-0012799,1/7/2019,10:20:06,Monday,January,Q1,2019,CUST-00971,25-34,None,CP-001,Vanilla Cupcakes,Cupcakes,Winter,1,4.5,0.72,4.5,0.72,3.78,84,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000071,ORD-0001852,1/7/2019,10:38:08,Monday,January,Q1,2019,CUST-00652,55-64,None,CK-003,Oatmeal Cookie,Cookie,Winter,1,2.99,0.24,2.99,0.24,2.75,91.97,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000072,ORD-0001852,1/7/2019,10:38:08,Monday,January,Q1,2019,CUST-00652,55-64,None,CP-001,Vanilla Cupcakes,Cupcakes,Winter,2,4.5,0.72,9,1.44,7.56,84,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000073,ORD-0001852,1/7/2019,10:38:08,Monday,January,Q1,2019,CUST-00652,55-64,None,CK-001,Chocolate Chip Cookie,Cookie,Winter,1,2.99,0.32,2.99,0.32,2.67,89.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000074,ORD-0002709,1/7/2019,11:08:44,Monday,January,Q1,2019,CUST-00871,65-74,None,CP-002,Chocolate Cupcakes,Cupcakes,Winter,1,4.5,0.79,4.5,0.79,3.71,82.44,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000075,ORD-0024238,1/7/2019,16:01:05,Monday,January,Q1,2019,CUST-00986,55-64,None,CK-002,Snickerdoodle Cookie,Cookie,Winter,1,2.99,0.37,2.99,0.37,2.62,87.63,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000076,ORD-0008520,1/8/2019,9:03:26,Tuesday,January,Q1,2019,CUST-02161,55-64,Family,CR-001,Cinnamon Rolls,Cinnamon Rolls,Winter,2,3.99,0.95,7.98,1.9,6.08,76.19,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000077,ORD-0008520,1/8/2019,9:03:26,Tuesday,January,Q1,2019,CUST-02161,55-64,Family,BR-001,Chocolate Brownies,Brownies,Winter,4,3.5,0.48,14,1.92,12.08,86.29,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000078,ORD-0008520,1/8/2019,9:03:26,Tuesday,January,Q1,2019,CUST-02161,55-64,Family,CP-001,Vanilla Cupcakes,Cupcakes,Winter,4,4.5,0.72,18,2.88,15.12,84,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000079,ORD-0017443,1/8/2019,9:03:27,Tuesday,January,Q1,2019,CUST-02040,65-74,None,CR-001,Cinnamon Rolls,Cinnamon Rolls,Winter,3,3.99,0.95,11.97,2.85,9.12,76.19,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000080,ORD-0017443,1/8/2019,9:03:27,Tuesday,January,Q1,2019,CUST-02040,65-74,None,CP-005,Peppermint Chocalate Cupcakes,Cupcakes,Winter,2,4.5,0.84,9,1.68,7.32,81.33,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000081,ORD-0013650,1/8/2019,9:27:15,Tuesday,January,Q1,2019,CUST-03873,65-74,None,CP-001,Vanilla Cupcakes,Cupcakes,Winter,1,4.5,0.72,4.5,0.72,3.78,84,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000082,ORD-0013650,1/8/2019,9:27:15,Tuesday,January,Q1,2019,CUST-03873,65-74,None,BR-001,Chocolate Brownies,Brownies,Winter,1,3.5,0.48,3.5,0.48,3.02,86.29,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000083,ORD-0000988,1/8/2019,10:18:51,Tuesday,January,Q1,2019,CUST-00814,25-34,Basic,CK-005,Gingerbread Cookie,Cookie,Winter,1,2.99,0.26,2.99,0.26,2.73,91.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000084,ORD-0021417,1/8/2019,10:34:47,Tuesday,January,Q1,2019,CUST-00378,65-74,None,CK-001,Chocolate Chip Cookie,Cookie,Winter,1,2.99,0.32,2.99,0.32,2.67,89.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000085,ORD-0021417,1/8/2019,10:34:47,Tuesday,January,Q1,2019,CUST-00378,65-74,None,CP-005,Peppermint Chocalate Cupcakes,Cupcakes,Winter,1,4.5,0.84,4.5,0.84,3.66,81.33,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000086,ORD-0025075,1/8/2019,11:55:48,Tuesday,January,Q1,2019,CUST-03920,55-64,None,CK-002,Snickerdoodle Cookie,Cookie,Winter,1,2.99,0.37,2.99,0.37,2.62,87.63,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000087,ORD-0025075,1/8/2019,11:55:48,Tuesday,January,Q1,2019,CUST-03920,55-64,None,CK-005,Gingerbread Cookie,Cookie,Winter,1,2.99,0.26,2.99,0.26,2.73,91.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000088,ORD-0010687,1/8/2019,13:40:21,Tuesday,January,Q1,2019,CUST-03476,65-74,None,CP-002,Chocolate Cupcakes,Cupcakes,Winter,1,4.5,0.79,4.5,0.79,3.71,82.44,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000089,ORD-0010687,1/8/2019,13:40:21,Tuesday,January,Q1,2019,CUST-03476,65-74,None,CK-002,Snickerdoodle Cookie,Cookie,Winter,1,2.99,0.37,2.99,0.37,2.62,87.63,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000090,ORD-0010687,1/8/2019,13:40:21,Tuesday,January,Q1,2019,CUST-03476,65-74,None,CK-003,Oatmeal Cookie,Cookie,Winter,1,2.99,0.24,2.99,0.24,2.75,91.97,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000091,ORD-0015205,1/8/2019,13:51:04,Tuesday,January,Q1,2019,CUST-04308,75+,None,BR-002,Walnut Brownies,Brownies,Winter,2,3.5,0.59,7,1.18,5.82,83.14,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000092,ORD-0006787,1/8/2019,14:50:22,Tuesday,January,Q1,2019,CUST-05227,18-24,Mystery Box,CK-005,Gingerbread Cookie,Cookie,Winter,1,2.99,0.26,2.99,0.26,2.73,91.3,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000093,ORD-0011325,1/8/2019,15:03:56,Tuesday,January,Q1,2019,CUST-04946,75+,None,CK-003,Oatmeal Cookie,Cookie,Winter,1,2.99,0.24,2.99,0.24,2.75,91.97,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000094,ORD-0011325,1/8/2019,15:03:56,Tuesday,January,Q1,2019,CUST-04946,75+,None,CP-001,Vanilla Cupcakes,Cupcakes,Winter,1,4.5,0.72,4.5,0.72,3.78,84,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000095,ORD-0026168,1/8/2019,15:57:35,Tuesday,January,Q1,2019,CUST-03761,55-64,Mystery Box,MYS-001,Mystery Box Item,Mystery Box Item,Winter,1,0,1,0,1,-1,,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
TXN-00000096,ORD-0021868,1/9/2019,10:24:33,Wednesday,January,Q1,2019,CUST-01286,35-44,None,BR-002,Walnut Brownies,Brownies,Winter,1,3.5,0.59,3.5,0.59,2.91,83.14,N,ATL-DT-001,Downtown Atlanta,Atlanta,Georgia
